C:\PCS\PCS64e\Curves\2022'12'26-17'12'20-TupyS-1_3.s2k.out																	
DN	114.147	1141.76	-0.298744	0	-0.00189192	0.74768	0.0230699	2.81709	-1.48116	0	2.84323	1.7384	-0.980242	0.290033	0.106548	0.300275	0
PUP	122.765	1138.72	-0.470003	-0.0230225	0.00265618	0.8507	0.00477873	3.02192	-0.220003	0	0.668765	1.2028	0.544253	-0.00933276	0.125272	0.886778	-0.176609
																	
C:\PCS\PCS64e\Curves\2022'12'26-19'59'26-TupyS-1_3.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	110.496	1142.42	-0.28026	0	-0.00215547	0.685816	0.0198956	3.33224	-1.2039	0	2.73781	1.42908	-0.74217	0.0887705	0.87136	0.151296	0
PUP	117.458	1140.27	-0.38212	-0.0197233	0.000862307	0.775447	0.00877729	1.96543	-0.13212	0	1.02754	0.901788	-0.255457	-0.00370616	0.175567	0.730466	-0.47865
																	
C:\PCS\PCS64e\Curves\2022'12'26-20'12'08-TupyS-1_3.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	112.811	1136.52	-0.280866	0	-0.00249877	0.959719	0.0241129	6.04363	-1.21299	0	2.60049	2.79859	-1.05846	-0.406664	2.84727	0.475398	0
PUP	117.459	1135.18	-0.298319	0.0076787	0.00461261	1.03909	0.0165983	1.10748	-0.0483194	0	0.277478	1.95638	-1.81966	0.0170255	0.303401	0.842195	-0.421015
																	
C:\PCS\PCS64e\Curves\2022'12'26-20'09'17-TupyS-1_2.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
																	
C:\PCS\PCS64e\Curves\2022'12'26-20'18'56-TupyS-1_1.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	104.541	1140.36	-0.286733	0	-0.00462646	0.890728	0.020622	1.12548	-1.301	0	1.74942	2.45364	-0.79665	-0.0803144	-1.30114	0.401537	0
PUP	112.493	1137.72	-0.405536	-0.0094499	0.0043713	0.945462	0.0003305	4.09216	-0.155536	0	0.325739	1.58185	1.4339	0.00721249	-0.0450783	0.785282	0.15879
																	
C:\PCS\PCS64e\Curves\2022'12'26-20'13'53-TupyS-1_2.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
PMAX	108.196	1139.87	0.0658895	0.0268843	-0.000420703	0.846763	0	4.58901	0.473834	0	1.11586	1.72734	1.4	0.0395045	0	0.156241	-0.323767
PUP	111.17	1140.19	0.140554	0.0271391	0.00046119	0.837619	-0.00381166	3.58127	0.390554	0	1.10776	1.15047	0.737668	0.0228919	0	0.0351923	0.136724
MIN	105.504	1139.77	0	0.0294131	-0.00125459	0.850092	0.00796076	0.0619249	0	-1.88261	0	1.25046	0.203924	0	0	0.490154	0
																	
C:\PCS\PCS64e\Curves\2022'12'26-20'32'53-TupyS-1_3.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	106.53	1140.99	-0.286102	0	-0.00362158	0.978444	0.0228719	3.06237	-1.29153	0	2.15137	2.89222	-0.965392	-0.242113	0.0241054	0.493709	0
PUP	113.49	1138.79	-0.364454	0.000186417	0.0055222	1.03766	0.00386298	3.81873	-0.114454	0	0.0955598	1.95064	0.727404	0.0130977	0.048295	0.825771	0.272411
																	
C:\PCS\PCS64e\Curves\2022'12'26-20'22'56-TupyS-1_2.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	103.555	1140.14	-0.299792	0	-0.0042716	0.998462	0.0242363	2.93655	-1.49688	0	1.89136	2.99231	-1.06772	-0.160259	0.276557	0.501183	0
PUP	110.844	1137.69	-0.387862	-0.00318761	0.00467074	1.06905	0.00485577	3.2664	-0.137862	0	0.265852	2.07619	0.528847	0.010256	0.0824248	0.871144	-0.430447
																	
C:\PCS\PCS64e\Curves\2022'12'26-20'43'53-TupyS-1_1.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	95.9444	1147.81	-0.112033	0	-0.0076004	0.672735	0.00487012	-0.148994	1.31951	0	0.559839	1.36367	0.384741	0.822434	-4.46154	-0.137653	0
PMAX	99.2723	1147.38	-0.143935	-0.00892942	-0.00319214	0.671456	0	1.58012	0.159097	0	0.561572	0.500192	1.4	-0.0339842	-0.814241	0.180108	-0.372622
PUP	101.588	1147.01	-0.177049	-0.0133591	-0.0010422	0.669067	-0.00136888	1.6963	0.072951	0	0.991559	0.476266	1.22622	-0.047115	-0.465851	0.213451	-0.77119
PMAX	111.166	1144.62	-0.3028	-0.0196088	-0.00281458	0.681361	0	2.19934	-0.0792004	0	0.637083	0.569525	1.4	-0.0201878	-0.38224	0.410214	-0.335853
PUP	116.784	1142.47	-0.471743	-0.0266494	0.00131125	0.64794	-0.00861106	0.861687	-0.221743	0	0.937751	0.391761	-0.222212	-0.0244401	-0.0162259	0.425877	-0.409081
																	
C:\PCS\PCS64e\Curves\2022'12'26-20'37'44-TupyS-1_1.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	95.9494	1146.66	-0.251274	0	-0.00692795	0.712008	0.00612677	-0.185047	-0.769109	0	0.82882	1.56004	0.290492	0.79978	-2.88838	-0.00669498	0
PUP	99.9347	1145.57	-0.289692	-0.00599271	-0.0012683	0.724842	0.00447672	1.54433	-0.0396918	0	0.94634	0.699367	0.604656	-0.0445766	-0.283431	0.366433	-0.704765
PMAX	113.816	1140.69	-0.461528	-0.0246486	-0.000265776	0.81692	0	4.14167	-0.317292	0	1.14684	1.51844	1.4	-0.00516768	0.0609473	0.733299	-0.395406
PUP	114.807	1140.21	-0.490618	-0.0237835	0.00146241	0.816686	-0.000229697	3.51173	-0.240618	0	0.907517	1.06674	1.45406	-0.0177839	0.0678195	0.743435	-0.469445
																	
C:\PCS\PCS64e\Curves\2022'12'26-21'03'08-TupyS-1_2.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	92.9786	1147.58	-0.263619	0	-0.00470639	0.605786	0.002655	-0.352547	-0.95429	0	1.71744	1.02893	0.550875	0.449717	-2.97532	-0.169898	0
PUP	94.9793	1147.04	-0.277898	0.000272805	-0.00226435	0.61093	0.00514128	0.902418	-0.0278977	0	0.74713	0.243722	0.471744	-0.0297898	-0.328056	0.153496	-0.32793
DN	106.854	1143.67	-0.269142	0	-0.00129587	0.767955	0.0189724	3.15333	-1.03714	0	3.08165	1.83977	-0.672929	0.0584578	-0.383479	0.266986	0
PUP	115.491	1141.1	-0.37824	-0.0170613	0.00146859	0.875399	0.00708411	2.62577	-0.12824	0	0.906282	1.3016	0.0831781	-8.77E-05	0.0654579	0.822652	-0.425072
																	
C:\PCS\PCS64e\Curves\2022'12'26-20'51'14-TupyS-1_1.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
																	
